carrier_name,shipping_option_code,shipping_option_result,partner,service,last_update
Dropi Fretes,4752302,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,4751193,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3853957,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3853542,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Mail Express,MailEx_8,Mail Express - Outros,,Outros,2025-08-07 16:10:53
"Manhã, entrega até as 13h=data-especial	",saturday|50,"Manhã, entrega até as 13h=data-especial	 - Outros",,Outros,2025-08-07 16:10:53
"Manhã, entrega até as 13h=data-especial",saturday|37,"Manhã, entrega até as 13h=data-especial - Outros",,Outros,2025-08-07 16:10:53
Dropi Fretes,3866310,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3866136,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3862361,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3861373,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3860784,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,4472288,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Emissary,67,Emissary - Outros,,Outros,2025-08-07 16:10:53
Emissary,42,Emissary - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,4468842,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,4468093,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,4520766,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,4516878,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,4515579,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,4515578,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3815895,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3814077,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3853531,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3853113,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3852923,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3852922,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3851875,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3849571,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3847677,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3847582,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3844825,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3808175,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3805650,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3795688,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Mienvio MX,Redpack (estandar),Mienvio MX - Outros,,Outros,2025-08-07 16:10:53
MeusCorreios,SEDEXLOG+,MeusCorreios - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,4591785,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,4586273,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,4585003,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,4584763,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,4750481,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3830244,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3828117,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3826822,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3825852,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3790606,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3788408,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3788397,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3787454,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3787392,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3780507,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3817923,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3795674,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3794600,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3794207,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3793292,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3792368,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3735606,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
